"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
2097,77.1,77.1,22.9,"Rue (FR)","C'est oui à 77,1 pour cent à l'initiative pour le versement d'une 13e rente AVS à Rue. Rue a approuvé l'initiative, tout comme son canton."
2099,75.8,75.8,24.2,"Siviriez (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Siviriez avec 75,8 pour cent de oui. Siviriez a approuvé l'initiative, tout comme son canton."
2102,76.9,76.9,23.1,"Ursy (FR)","A Ursy, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 76,9 pour cent des suffrages. Ursy a approuvé l'initiative, tout comme son canton."
2113,74.8,74.8,25.2,"Vuisternens-devant-Romont (FR)","C'est oui à 74,8 pour cent à l'initiative pour le versement d'une 13e rente AVS à Vuisternens-devant-Romont. Vuisternens-devant-Romont a approuvé l'initiative, tout comme son canton."
2114,78.4,78.4,21.6,"Villorsonnens (FR)","C'est oui à 78,4 pour cent à l'initiative pour le versement d'une 13e rente AVS à Villorsonnens. Villorsonnens a approuvé l'initiative, tout comme son canton."
2115,81.3,81.3,18.7,"Torny (FR)","A Torny, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 81,3 pour cent des suffrages. Torny a approuvé l'initiative, tout comme son canton."
2117,75.7,75.7,24.3,"Villaz (FR)","C'est oui à 75,7 pour cent à l'initiative pour le versement d'une 13e rente AVS à Villaz. Villaz a approuvé l'initiative, tout comme son canton."
2121,70.7,70.7,29.3,"Haut-Intyamon (FR)","Les habitants de Haut-Intyamon acceptent l'initiative pour le versement d'une 13e rente AVS avec 70,7 pour cent de oui. Haut-Intyamon a approuvé l'initiative, tout comme son canton."
2122,76.6,76.6,23.4,"Pont-en-Ogoz (FR)","Les habitants de Pont-en-Ogoz approuvent l'initiative pour le versement d'une 13e rente AVS avec 76,6 pour cent des voix. Pont-en-Ogoz a approuvé l'initiative, tout comme son canton."
2123,73.2,73.2,26.8,"Botterens (FR)","Les habitants de Botterens acceptent l'initiative pour le versement d'une 13e rente AVS avec 73,2 pour cent de oui. Botterens a approuvé l'initiative, tout comme son canton."
2124,80,80,20,"Broc (FR)","Les habitants de Broc approuvent l'initiative pour le versement d'une 13e rente AVS avec 80 pour cent des voix. Broc a approuvé l'initiative, tout comme son canton."
2125,79.4,79.4,20.6,"Bulle (FR)","C'est oui à 79,4 pour cent à l'initiative pour le versement d'une 13e rente AVS à Bulle. Bulle a approuvé l'initiative, tout comme son canton."
2128,71.9,71.9,28.1,"Châtel-sur-Montsalvens (FR)","Les électeurs de Châtel-sur-Montsalvens valident l'initiative pour le versement d'une 13e rente AVS avec 71,9 pour cent des voix. Châtel-sur-Montsalvens a approuvé l'initiative, tout comme son canton."
2129,75.7,75.7,24.3,"Corbières (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Corbières avec 75,7 pour cent de oui. Corbières a approuvé l'initiative, tout comme son canton."
2130,74.3,74.3,25.7,"Crésuz (FR)","Les habitants de Crésuz approuvent l'initiative pour le versement d'une 13e rente AVS avec 74,3 pour cent des voix. Crésuz a approuvé l'initiative, tout comme son canton."
2131,71,71,29,"Echarlens (FR)","A Echarlens, les habitants disent oui à 71 pour cent à l'initiative pour une 13 rente AVS. Echarlens a approuvé l'initiative, tout comme son canton."
2134,75.2,75.2,24.8,"Grandvillard (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Grandvillard avec 75,2 pour cent de oui. Grandvillard a approuvé l'initiative, tout comme son canton."
2135,74,74,26,"Gruyères (FR)","Les électeurs de Gruyères valident l'initiative pour le versement d'une 13e rente AVS avec 74 pour cent des voix. Gruyères a approuvé l'initiative, tout comme son canton."
2137,75.2,75.2,24.8,"Hauteville (FR)","Les habitants de Hauteville approuvent l'initiative pour le versement d'une 13e rente AVS avec 75,2 pour cent des voix. Hauteville a approuvé l'initiative, tout comme son canton."
2138,52,52,48,"Bellegarde (FR)","A Bellegarde, les habitants disent oui à 52 pour cent à l'initiative pour une 13 rente AVS. Bellegarde a approuvé l'initiative, tout comme son canton."
2140,73.7,73.7,26.3,"Marsens (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Marsens avec 73,7 pour cent de oui. Marsens a approuvé l'initiative, tout comme son canton."
2143,69.9,69.9,30.1,"Morlon (FR)","A Morlon, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 69,9 pour cent des suffrages. Morlon a approuvé l'initiative, tout comme son canton."
2145,77,77,23,"Le Pâquier (FR)","Les habitants du Pâquier (FR) approuvent l'initiative pour le versement d'une 13e rente AVS avec 77 pour cent des voix. Le Pâquier (FR) a approuvé l'initiative, tout comme son canton."
2147,71.6,71.6,28.4,"Pont-la-Ville (FR)","Les habitants de Pont-la-Ville acceptent l'initiative pour le versement d'une 13e rente AVS avec 71,6 pour cent de oui. Pont-la-Ville a approuvé l'initiative, tout comme son canton."
2148,77.9,77.9,22.1,"Riaz (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Riaz avec 77,9 pour cent de oui. Riaz a approuvé l'initiative, tout comme son canton."
2149,76,76,24,"La Roche (FR)","Les électeurs de La Roche valident l'initiative pour le versement d'une 13e rente AVS avec 76 pour cent des voix. La Roche a approuvé l'initiative, tout comme son canton."
2152,73,73,27,"Sâles (FR)","A Sâles, les habitants disent oui à 73 pour cent à l'initiative pour une 13 rente AVS. Sâles a approuvé l'initiative, tout comme son canton."
2153,75.3,75.3,24.7,"Sorens (FR)","C'est oui à 75,3 pour cent à l'initiative pour le versement d'une 13e rente AVS à Sorens. Sorens a approuvé l'initiative, tout comme son canton."
2155,70.8,70.8,29.2,"Vaulruz (FR)","Les habitants de Vaulruz approuvent l'initiative pour le versement d'une 13e rente AVS avec 70,8 pour cent des voix. Vaulruz a approuvé l'initiative, tout comme son canton."
2160,77.7,77.7,22.3,"Vuadens (FR)","A Vuadens, les habitants disent oui à 77,7 pour cent à l'initiative pour une 13 rente AVS. Vuadens a approuvé l'initiative, tout comme son canton."
2162,75.4,75.4,24.6,"Bas-Intyamon (FR)","Les électeurs de Bas-Intyamon valident l'initiative pour le versement d'une 13e rente AVS avec 75,4 pour cent des voix. Bas-Intyamon a approuvé l'initiative, tout comme son canton."
2163,74,74,26,"Val-de-Charmey (FR)","A Val-de-Charmey, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 74 pour cent des suffrages. Val-de-Charmey a approuvé l'initiative, tout comme son canton."
2173,78.7,78.7,21.3,"Autigny (FR)","A Autigny, les habitants disent oui à 78,7 pour cent à l'initiative pour une 13 rente AVS. Autigny a approuvé l'initiative, tout comme son canton."
2174,75.6,75.6,24.4,"Avry (FR)","Les électeurs d'Avry valident l'initiative pour le versement d'une 13e rente AVS avec 75,6 pour cent des voix. Avry a approuvé l'initiative, tout comme son canton."
2175,76.8,76.8,23.2,"Belfaux (FR)","Les habitants de Belfaux acceptent l'initiative pour le versement d'une 13e rente AVS avec 76,8 pour cent de oui. Belfaux a approuvé l'initiative, tout comme son canton."
2177,77.9,77.9,22.1,"Chénens (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Chénens avec 77,9 pour cent de oui. Chénens a approuvé l'initiative, tout comme son canton."
2183,75.5,75.5,24.5,"Corminboeuf (FR)","Les habitants de Corminboeuf approuvent l'initiative pour le versement d'une 13e rente AVS avec 75,5 pour cent des voix. Corminboeuf a approuvé l'initiative, tout comme son canton."
2186,78.1,78.1,21.9,"Cottens (FR)","Les habitants de Cottens (FR) approuvent l'initiative pour le versement d'une 13e rente AVS avec 78,1 pour cent des voix. Cottens (FR) a approuvé l'initiative, tout comme son canton."
2194,72.7,72.7,27.3,"Ferpicloz (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Ferpicloz avec 72,7 pour cent de oui. Ferpicloz a approuvé l'initiative, tout comme son canton."
2196,78.2,78.2,21.8,"Fribourg (FR)","Les habitants de Fribourg approuvent l'initiative pour le versement d'une 13e rente AVS avec 78,2 pour cent des voix. Fribourg a approuvé l'initiative, tout comme son canton."
2197,81.7,81.7,18.3,"Givisiez (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Givisiez avec 81,7 pour cent de oui. Givisiez a approuvé l'initiative, tout comme son canton."
2198,79.9,79.9,20.1,"Granges-Paccot (FR)","A Granges-Paccot, les habitants disent oui à 79,9 pour cent à l'initiative pour une 13 rente AVS. Granges-Paccot a approuvé l'initiative, tout comme son canton."
2200,79.2,79.2,20.8,"Grolley (FR)","A Grolley, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 79,2 pour cent des suffrages. Grolley a approuvé l'initiative, tout comme son canton."
2206,79.3,79.3,20.7,"Marly (FR)","A Marly, les habitants disent oui à 79,3 pour cent à l'initiative pour une 13 rente AVS. Marly a approuvé l'initiative, tout comme son canton."
