"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
58.5,41.5,"<b>""Initiative für eine 13. AHV-Rente""</b><br>2120 von 2126 Gemeinden ausgezählt (99.7%)<br>Stände: 14 Ja, 8 Nein","<b>Initiative pour une 13e rente AVS</b><br>Les résultats de 2120 des 2126 communes sont connus (99.7%)<br>Cantons: 14 oui, 8 non","<b>Iniziativa popolare «Vivere meglio la pensione (Iniziativa per una 13esima mensilità AVS)»</b><br>2120 dei 2126 comuni sono noti (99.7%)<br>Cantoni: 14 sì, 8 no"
25,75,"<b>""Renteninitiative""</b><br>2120 von 2126 Gemeinden ausgezählt (99.7%)<br>Stände: 0 Ja, 22 Nein","<b>Initiative des Jeunes PLR pour augmenter l'âge de la retraite</b><br>Les résultats de 2120 des 2126 communes sont connus (99.7%)<br>Cantons: 0 oui, 22 non","<b>Iniziativa popolare «Per una previdenza vecchiaia sicura e sostenibile (Iniziativa sulle pensioni)»</b><br>2120 dei 2126 comuni sono noti (99.7%)<br>Cantoni: 0 sì, 22 no"
