"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
50,50,"<b>Teilrevision des Polizeigesetzes (PolG)</b><br>Die brieflichen Stimmen sind ausgezählt.","<b>NA</b><br>Les votes par correspondance ont été dépouillés.","<b>NA</b><br>I voti per corrispondenza sono stati scrutinati."
50,50,"<b>Teilrevision des kantonalen Umweltgesetzes (KUG)</b><br>Die brieflichen Stimmen sind ausgezählt.","<b>NA</b><br>Les votes par correspondance ont été dépouillés.","<b>NA</b><br>I voti per corrispondenza sono stati scrutinati."
